Solar,Wind
0.00325544,0
0.07323422,0.011813521
0.18581094,0.003905773
0.303803,0.028610073
0.36938795,0.052652527
0.40227926,0.07458727
0.40421274,0.08903704
0.40399817,0.095368624
0.3329691,0.09822182
0.19600002,0.088341355
0.067677066,0.08292089
0.000559175,0.07774856
0,0.05521159
0,0.030521262
0,0.030899297
0,0.047249675
0,0.06733153
0,0.0771033
0,0.08793935
0,0.08376115
0,0.08107245
0,0.07306581
0,0.062228728
0,0.06450381
0.004219749,0.08422029
0.10468695,0.091547824
0.26936218,0.083428144
0.4159846,0.15185186
0.5190451,0.26447228
0.54646504,0.39539826
0.5032195,0.46454406
0.40231848,0.48594308
0.2955564,0.45703965
0.18651776,0.42452368
0.057566494,0.29235166
0.00074477,0.22140916
0,0.16749711
0,0.16012998
0,0.16184002
0,0.17633297
0,0.1651155
0,0.18670647
0,0.23211953
0,0.24324667
0,0.21726607
0,0.17273684
0,0.113553405
0,0.08804421
0.005423835,0.07947402
0.108336866,0.057672307
0.27051473,0.030058576
0.41377795,0.086252786
0.52181596,0.29087567
0.5629866,0.45133722
0.53855455,0.516617
0.44501698,0.44743368
0.3986331,0.3641502
0.24673343,0.33090723
0.08323812,0.18185532
0.001078096,0.12566318
0,0.14680476
0,0.14696637
0,0.08102839
0,0.06918726
0,0.07384942
0,0.089290045
0,0.091593504
0,0.18808442
0,0.08392449
0,0.059018657
0,0.003196478
0,0
0.003850955,0
0.0628257,0
0.16532955,0.018497955
0.32300454,0.052035235
0.49025375,0.049834587
0.5489372,0.061437562
0.5442839,0.07270953
0.48359945,0.07717242
0.32651696,0.049283434
0.18390079,0.15079448
0.070061766,0.065782025
0.001151192,0
0,0.033023622
0,0.212403
0,0.21294197
0,0.09906051
0,0.05686617
